ID,LTV,CLTV,Orig_Bal,Orig_Date,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
4598,80,100,572000,31-08-2006,360,7.5,CA,656,Owner Occupied,ARM
803,84.95,84.95,570000,28-08-2006,480,7.99,CA,593,Owner Occupied,ARM
4711,95,95,570000,12-09-2006,360,6.85,FL,736,Owner Occupied,ARM
2314,80,100,569600,06-09-2006,480,7.75,CT,606,Owner Occupied,ARM
2921,80,100,569600,17-08-2006,480,8.05,CA,654,Owner Occupied,ARM
2996,85,85,569500,29-08-2006,360,8.125,CA,605,Owner Occupied,ARM
4454,80,100,568000,24-08-2006,360,8.1,CA,601,Owner Occupied,ARM
4236,80,80,565600,20-09-2006,480,8.2,CA,626,Owner Occupied,ARM
3055,85,85,565250,05-09-2006,360,7.075,CA,688,Owner Occupied,ARM
128,55.94,55.94,565000,23-08-2006,480,7.3,CA,538,Owner Occupied,ARM
4761,80.71,80.71,565000,31-08-2006,480,7.875,CA,590,Owner Occupied,ARM
2384,88.58,88.58,562500,14-08-2006,360,8.675,CA,611,Owner Occupied,ARM
89,80,100,560000,24-08-2006,360,6.65,CA,649,Owner Occupied,ARM
235,80,100,560000,21-08-2006,360,7.7,CA,651,Owner Occupied,ARM
2291,80,100,560000,09-08-2006,480,7.35,NY,726,Owner Occupied,ARM
3898,80,96,560000,06-09-2006,360,8.45,CA,641,Owner Occupied,ARM
2564,80,100,558800,14-08-2006,360,7.2,CA,628,Owner Occupied,ARM
1388,80,100,558400,22-08-2006,360,7.45,CA,622,Owner Occupied,ARM
1790,90,90,558000,01-09-2006,480,7.75,MD,562,Owner Occupied,Fix
2492,89.57,89.57,558000,19-08-2006,360,7.4,CA,625,Owner Occupied,ARM
3330,85,85,556750,29-08-2006,480,8.35,CA,576,Owner Occupied,ARM
1597,80,100,556000,15-08-2006,360,7.4,CA,654,Owner Occupied,ARM
1619,82.74,82.74,556000,30-08-2006,480,8.6,NY,563,Owner Occupied,ARM
4708,80,100,556000,31-08-2006,360,6.7,CA,646,Owner Occupied,ARM
3571,80,100,552800,29-08-2006,360,7.8,CA,659,Owner Occupied,ARM
670,85,85,552500,13-09-2006,480,7.5,FL,628,Owner Occupied,ARM
2263,80,100,552000,21-08-2006,480,7.8,CA,662,Owner Occupied,ARM
4536,89.03,89.03,552000,31-08-2006,360,6.75,CA,601,Owner Occupied,Fix
3076,80,100,551200,24-08-2006,360,7.5,NY,714,Owner Occupied,ARM
1108,87.3,87.3,550000,28-08-2006,360,7.375,MA,681,Owner Occupied,Fix
1494,86.61,86.61,550000,29-08-2006,480,9.65,CA,586,Owner Occupied,Fix
2106,87.86,87.86,550000,08-09-2006,360,10.65,CA,656,Owner Occupied,ARM
2269,84.62,84.62,550000,08-09-2006,360,7.75,CA,642,Owner Occupied,ARM
4561,79.14,79.14,550000,28-08-2006,480,7.85,CA,537,Owner Occupied,ARM
3520,90,90,549000,22-08-2006,480,8.99,NY,612,Owner Occupied,Fix
1185,85,85,548250,22-08-2006,360,8.25,CA,618,Owner Occupied,ARM
1075,84.96,84.96,548000,30-08-2006,360,7.25,CA,651,Owner Occupied,ARM
3215,80,100,548000,31-08-2006,360,7.4,CA,651,Owner Occupied,ARM
2866,74.49,74.49,547500,25-08-2006,360,7.875,NJ,665,Owner Occupied,ARM
493,95,95,546791,14-08-2006,360,8.45,FL,654,Owner Occupied,ARM
745,65,65,546000,24-08-2006,480,8,NV,597,Owner Occupied,Fix
1983,90,90,544500,09-08-2006,360,8.05,CA,636,Owner Occupied,ARM
1519,80,100,544000,22-08-2006,480,7.2,NY,641,Owner Occupied,Fix
4653,80,100,544000,31-08-2006,480,8.95,NY,668,Owner Occupied,ARM
118,80,100,543440,08-08-2006,360,6.8,FL,640,Owner Occupied,ARM
